,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
78,2020年4月28日,285.73,291.02,291.4,285.4,105.27,-0.46,1588003200.0,285.73,287.156,287.25916666666666,289.58299999999997,293.39576923076925,305.03183333333334,2020-04-28
79,2020年4月29日,293.21,291.53,294.88,290.41,118.75,2.62,1588089600.0,293.21,287.248,287.1958333333334,290.47299999999996,294.38153846153847,305.6523333333333,2020-04-29
80,2020年4月30日,290.48,291.71,293.32,288.59,122.9,-0.93,1588176000.0,290.48,285.456,286.61833333333334,290.961,295.38653846153846,306.1135,2020-04-30
81,2020年5月1日,282.79,285.31,290.66,281.52,125.18,-2.65,1588262400.0,282.79,284.896,286.99499999999995,291.65299999999996,296.64500000000004,306.65916666666664,2020-05-01
82,2020年5月4日,283.57,280.74,283.9,279.13,80.87,0.28,1588521600.0,283.57,286.826,287.76,292.791,298.10653846153843,307.2988333333333,2020-05-04
83,2020年5月5日,286.19,286.64,289.25,283.71,79.57,0.92,1588608000.0,286.19,288.612,288.87333333333333,294.0165,299.46923076923076,307.9913333333333,2020-05-05
84,2020年5月6日,284.25,288.04,288.46,283.78,73.63,-0.68,1588694400.0,284.25,288.708,289.5975,295.31600000000003,300.02384615384614,308.6208333333333,2020-05-06
85,2020年5月7日,287.68,287.75,289.78,287.13,75.25,1.21,1588780800.0,287.68,288.178,290.53,296.67150000000004,300.79153846153844,309.3253333333333,2020-05-07
86,2020年5月8日,292.44,291.09,292.95,289.86,76.62,1.65,1588867200.0,292.44,287.636,291.48,298.2545,301.53653846153844,310.0105,2020-05-08
87,2020年5月11日,292.5,290.34,294.0,289.88,79.51,0.02,1589126400.0,292.5,286.40400000000005,292.4041666666667,299.7925,302.32576923076925,310.6375,2020-05-11
88,2020年5月12日,286.67,293.79,294.24,286.52,95.87,-1.99,1589212800.0,286.67,286.904,293.2766666666667,301.207,303.0626923076923,311.29766666666666,2020-05-12
89,2020年5月13日,281.6,286.02,287.17,279.0,144.72,-1.77,1589299200.0,281.6,287.964,294.7475,302.82349999999997,304.0284615384615,312.09200000000004,2020-05-13
90,2020年5月14日,284.97,278.79,285.03,276.39,121.98,1.2,1589385600.0,284.97,291.03000000000003,296.7433333333334,303.774,305.0684615384615,312.9748333333334,2020-05-14
91,2020年5月15日,286.28,282.38,286.28,281.38,111.15,0.46,1589472000.0,286.28,293.012,298.6691666666667,304.736,306.055,313.81816666666674,2020-05-15
92,2020年5月18日,295.0,292.87,296.6,292.75,120.32,3.05,1589731200.0,295.0,294.84400000000005,300.82750000000004,305.7745,307.04615384615386,314.59350000000006,2020-05-18
