"日期","收市","開市","高","低","成交量","更改%"
"2015年12月30日","205.93","207.11","207.21","205.76","63.32M","-0.71%"
"2015年12月29日","207.40","206.51","207.79","206.47","92.64M","1.07%"
"2015年12月28日","205.21","204.86","205.26","203.94","65.90M","-0.23%"
"2015年12月24日","205.68","205.72","206.33","205.42","48.54M","-0.17%"
"2015年12月23日","206.02","204.69","206.07","204.58","110.99M","1.24%"
"2015年12月22日","203.50","202.72","203.85","201.55","111.03M","0.91%"
"2015年12月21日","201.67","201.41","201.88","200.09","99.09M","0.82%"
"2015年12月18日","200.02","202.77","202.93","199.83","251.39M","-2.36%"
"2015年12月17日","204.86","208.40","208.48","204.84","173.09M","-1.52%"
"2015年12月16日","208.03","206.37","208.39","204.80","197.02M","1.46%"
"2015年12月15日","205.03","204.70","206.11","202.87","154.07M","1.05%"
"2015年12月14日","202.90","202.07","203.05","199.95","182.39M","0.51%"
"2015年12月11日","201.88","203.35","204.14","201.51","211.17M","-1.94%"
"2015年12月10日","205.87","205.42","207.43","205.14","116.13M","0.26%"
"2015年12月9日","205.34","206.19","208.68","204.18","162.40M","-0.78%"
"2015年12月8日","206.95","206.49","208.29","205.78","103.37M","-0.67%"
"2015年12月7日","208.35","209.23","209.73","207.20","102.03M","-0.61%"
"2015年12月4日","209.62","206.08","209.97","205.93","192.91M","1.95%"
"2015年12月3日","205.61","208.83","209.15","204.75","166.22M","-1.40%"
"2015年12月2日","208.53","210.62","211.00","208.23","108.44M","-1.02%"
"2015年12月1日","210.68","209.44","210.82","209.11","97.86M","0.95%"
"2015年11月30日","208.69","209.75","209.89","208.56","112.82M","-0.42%"
"2015年11月27日","209.56","209.43","209.80","208.86","37.32M","0.11%"
"2015年11月25日","209.32","209.50","209.74","209.01","51.98M","-0.01%"
"2015年11月24日","209.35","207.87","209.83","207.41","98.87M","0.13%"
"2015年11月23日","209.07","209.38","209.98","208.52","64.93M","-0.11%"
"2015年11月20日","209.31","209.45","210.12","208.86","94.01M","0.36%"
"2015年11月19日","208.55","208.59","209.05","208.20","88.22M","-0.09%"
"2015年11月18日","208.73","206.04","208.90","205.99","121.34M","1.59%"
"2015年11月17日","205.47","205.99","207.04","204.88","121.12M","-0.07%"
"2015年11月16日","205.62","202.32","205.69","202.18","117.65M","1.52%"
"2015年11月13日","202.54","204.35","204.67","202.44","153.58M","-1.12%"
"2015年11月12日","204.84","206.50","207.06","204.82","121.32M","-1.40%"
"2015年11月11日","207.74","208.88","208.94","207.66","67.85M","-0.39%"
"2015年11月10日","208.56","207.51","208.60","207.19","75.87M","0.23%"
"2015年11月9日","208.08","209.31","209.49","206.95","131.01M","-0.93%"
"2015年11月6日","210.04","209.74","210.32","208.46","110.47M","-0.05%"
"2015年11月5日","210.15","210.43","210.98","209.09","78.41M","-0.10%"
"2015年11月4日","210.36","211.35","211.50","209.72","96.22M","-0.30%"
"2015年11月3日","211.00","209.97","211.66","209.70","95.25M","0.29%"
"2015年11月2日","210.39","208.32","210.62","208.17","86.27M","1.18%"
"2015年10月30日","207.93","209.06","209.44","207.74","131.08M","-0.43%"
"2015年10月29日","208.83","208.35","209.27","208.21","90.53M","-0.06%"
"2015年10月28日","208.95","207.00","208.98","206.21","135.91M","1.14%"
"2015年10月27日","206.60","206.20","207.00","205.79","77.91M","-0.19%"
"2015年10月26日","207.00","207.30","207.37","206.56","69.03M","-0.25%"
"2015年10月23日","207.51","207.25","207.95","206.30","144.44M","1.10%"
"2015年10月22日","205.26","202.98","205.51","201.85","174.91M","1.69%"
"2015年10月21日","201.85","203.61","203.79","201.65","102.04M","-0.62%"
"2015年10月20日","203.11","202.85","203.84","202.55","78.45M","-0.13%"
"2015年10月19日","203.37","202.50","203.37","202.13","76.52M","0.05%"
"2015年10月16日","203.27","202.83","203.29","201.92","114.58M","0.45%"
"2015年10月15日","202.35","200.08","202.36","199.64","134.14M","1.54%"
"2015年10月14日","199.29","200.18","200.87","198.94","99.11M","-0.48%"
"2015年10月13日","200.25","200.65","202.16","200.05","88.04M","-0.63%"
"2015年10月12日","201.52","201.42","201.76","200.91","56.40M","0.09%"
"2015年10月9日","201.33","201.38","201.90","200.58","107.07M","0.06%"
"2015年10月8日","201.21","198.95","201.55","198.59","153.06M","0.90%"
"2015年10月7日","199.41","198.90","199.82","197.48","124.31M","0.82%"
"2015年10月6日","197.79","198.31","198.98","197.00","110.27M","-0.34%"
"2015年10月5日","198.47","196.46","198.74","196.33","126.32M","1.78%"
"2015年10月2日","195.00","189.77","195.03","189.12","211.00M","1.49%"
"2015年10月1日","192.13","192.08","192.49","189.82","131.08M","0.26%"
"2015年9月30日","191.63","190.37","191.82","189.44","163.45M","1.87%"
"2015年9月29日","188.12","188.27","189.74","186.93","159.05M","0.06%"
"2015年9月28日","188.01","191.78","191.91","187.64","178.52M","-2.51%"
"2015年9月25日","192.85","194.64","195.00","191.81","155.05M","-0.03%"
"2015年9月24日","192.90","192.15","193.45","190.56","159.38M","-0.36%"
"2015年9月23日","193.60","194.11","194.67","192.91","92.79M","-0.16%"
"2015年9月22日","193.91","193.88","194.46","192.56","153.89M","-1.30%"
"2015年9月21日","196.46","196.44","197.68","195.21","105.73M","0.52%"
"2015年9月18日","195.45","195.71","198.68","194.96","223.66M","-2.14%"
"2015年9月17日","199.73","200.02","202.89","199.28","276.05M","-0.22%"
"2015年9月16日","200.18","198.82","200.41","198.41","99.58M","0.87%"
"2015年9月15日","198.46","196.61","198.99","195.96","113.81M","1.25%"
"2015年9月14日","196.01","196.95","197.01","195.43","79.45M","-0.37%"
"2015年9月11日","196.74","195.38","196.82","194.53","119.69M","0.45%"
"2015年9月10日","195.85","194.56","197.22","194.25","158.61M","0.54%"
"2015年9月9日","194.79","199.32","199.47","194.35","149.35M","-1.34%"
"2015年9月8日","197.43","195.94","197.61","195.17","116.03M","2.51%"
"2015年9月4日","192.59","192.85","193.86","191.61","207.08M","-1.51%"
"2015年9月3日","195.55","196.26","198.05","194.96","152.09M","0.07%"
"2015年9月2日","195.41","194.62","195.46","192.42","160.27M","1.90%"
"2015年9月1日","191.77","193.12","194.77","190.73","256.00M","-2.98%"
"2015年8月31日","197.67","198.11","199.12","197.01","163.30M","-0.81%"
"2015年8月28日","199.28","198.50","199.84","197.92","160.41M","0.01%"
"2015年8月27日","199.27","197.02","199.42","195.21","274.14M","2.47%"
"2015年8月26日","194.46","192.08","194.79","188.37","339.26M","3.84%"
"2015年8月25日","187.27","195.43","195.45","186.92","369.83M","-1.18%"
"2015年8月24日","189.50","187.49","197.48","182.40","507.24M","-4.21%"
"2015年8月21日","197.83","201.73","203.94","197.52","346.59M","-3.01%"
"2015年8月20日","203.97","206.51","208.29","203.90","194.33M","-2.09%"
"2015年8月19日","208.32","209.09","210.01","207.35","172.95M","-0.79%"
"2015年8月18日","209.98","210.26","210.68","209.70","71.69M","-0.29%"
"2015年8月17日","210.59","208.71","210.59","208.16","79.07M","0.56%"
"2015年8月14日","209.42","208.43","209.51","208.26","72.79M","0.36%"
"2015年8月13日","208.66","208.73","209.55","208.01","89.38M","-0.12%"
"2015年8月12日","208.92","207.11","209.14","205.36","172.12M","0.12%"
"2015年8月11日","208.67","208.97","209.47","207.76","126.08M","-0.90%"
"2015年8月10日","210.57","209.28","210.67","209.28","80.27M","1.26%"
"2015年8月7日","207.95","208.16","208.34","206.87","117.86M","-0.19%"
"2015年8月6日","208.35","210.29","210.41","207.65","116.03M","-0.82%"
"2015年8月5日","210.07","210.45","211.31","209.73","85.79M","0.33%"
"2015年8月4日","209.38","209.70","210.25","208.80","81.82M","-0.20%"
"2015年8月3日","209.79","210.46","210.53","208.65","113.97M","-0.34%"
"2015年7月31日","210.50","211.42","211.45","210.16","103.27M","-0.15%"
"2015年7月30日","210.82","210.16","211.02","209.42","91.30M","0.02%"
"2015年7月29日","210.77","209.48","211.04","209.31","105.79M","0.69%"
"2015年7月28日","209.33","207.79","209.50","206.80","123.54M","1.23%"
"2015年7月27日","206.79","206.94","207.55","206.26","132.36M","-0.58%"
"2015年7月24日","208.00","210.30","210.37","207.60","117.75M","-1.04%"
"2015年7月23日","210.18","211.53","211.65","209.75","90.51M","-0.56%"
"2015年7月22日","211.37","210.93","211.77","210.89","88.67M","-0.18%"
"2015年7月21日","211.75","212.43","212.74","211.39","77.97M","-0.40%"
"2015年7月20日","212.59","212.75","213.18","212.21","70.45M","0.05%"
"2015年7月17日","212.48","212.29","212.55","211.80","89.03M","0.08%"
"2015年7月16日","212.30","211.87","212.30","211.58","106.68M","0.80%"
"2015年7月15日","210.61","210.73","211.28","210.04","97.91M","-0.03%"
"2015年7月14日","210.68","209.72","211.05","209.65","81.71M","0.43%"
"2015年7月13日","209.77","208.99","209.90","208.94","106.07M","1.10%"
"2015年7月10日","207.48","207.29","207.98","204.95","129.46M","1.26%"
"2015年7月9日","204.90","207.04","207.35","204.77","144.11M","0.18%"
"2015年7月8日","204.53","206.42","206.76","204.25","164.02M","-1.68%"
"2015年7月7日","208.02","206.96","208.17","204.11","173.82M","0.63%"
"2015年7月6日","206.72","205.77","207.65","205.53","117.98M","-0.28%"
"2015年7月2日","207.31","208.07","208.27","206.81","104.37M","-0.09%"
"2015年7月1日","207.50","207.73","208.03","206.56","135.98M","0.80%"
"2015年6月30日","205.85","207.26","207.32","205.28","182.93M","0.21%"
"2015年6月29日","205.42","208.04","209.83","205.33","202.62M","-2.10%"
"2015年6月26日","209.82","210.29","210.58","209.16","104.17M","-0.02%"
"2015年6月25日","209.86","211.10","211.25","209.77","97.11M","-0.30%"
"2015年6月24日","210.50","211.72","212.17","210.47","92.31M","-0.73%"
"2015年6月23日","212.04","212.14","212.44","211.57","68.48M","0.07%"
